Date,Price,Open,High,Low,Vol.,Change %
04/09/2024,70707.4,71627.3,71737.2,69664.5,81.44K,-1.29%
04/08/2024,71630.1,69358,72710.8,69110.5,105.78K,3.27%
04/07/2024,69360.4,68897.3,70285.8,68849.4,46.99K,0.68%
04/06/2024,68890.6,67830.5,69632,67467.2,41.48K,1.56%
04/05/2024,67830.6,68498.7,68692.2,66023.3,88.97K,-0.97%
04/04/2024,68496.5,65968.4,69238.8,65096.3,100.30K,3.84%
04/03/2024,65963,65443.6,66844.8,64559,88.46K,0.80%
04/02/2024,65439.2,69662.7,69673,64628.4,152.87K,-6.07%
04/01/2024,69664.4,71329.3,71329.3,68175.9,94.05K,-2.34%
03/31/2024,71332,69608.5,71367.5,69576.6,42.45K,2.47%
03/30/2024,69611.5,69872.3,70321.2,69564.9,29.87K,-0.37%
03/29/2024,69871.7,70766.7,70907,69090.9,58.99K,-1.26%
03/28/2024,70762.1,69449.4,71542.5,68956.9,72.49K,1.90%
03/27/2024,69442.4,69999.2,71670.8,68428.6,112.88K,-0.80%
03/26/2024,69999.3,69896.3,71490.7,69366.4,90.98K,0.15%
03/25/2024,69892,67216.4,71118.8,66395,124.72K,3.99%
03/24/2024,67211.9,64036.5,67587.8,63812.9,65.59K,4.96%
03/23/2024,64037.8,63785.6,65972.4,63074.9,35.11K,0.40%
03/22/2024,63785.5,65501.5,66633.3,62328.3,72.43K,-2.62%
03/21/2024,65503.8,67860,68161.7,64616.1,75.26K,-3.46%
03/20/2024,67854,62046.8,68029.5,60850.9,133.53K,9.35%
03/19/2024,62050,67594.1,68099.6,61560.6,148.08K,-8.20%
03/18/2024,67594.1,68389.7,68920.1,66601.4,78.07K,-1.17%
03/17/2024,68391.2,65314.2,68857.7,64605.5,66.07K,4.71%
03/16/2024,65314.2,69456.5,70037,64971,75.82K,-5.97%
03/15/2024,69463.7,71387.1,72398.1,65765.6,148.59K,-2.69%
03/14/2024,71387.5,73066.7,73740.9,68717.2,109.43K,-2.30%
03/13/2024,73066.3,71461.9,73623.5,71338.4,77.18K,2.23%
03/12/2024,71470.2,72099.1,72916.7,68845.6,105.09K,-0.87%
03/11/2024,72099.1,68964.7,72771.5,67452.8,114.72K,4.54%
03/10/2024,68964.8,68360.7,69905.3,68165,53.49K,0.88%
03/09/2024,68366.5,68178.5,68576.9,67923.9,30.71K,0.29%
03/08/2024,68172,66854.4,69904,66170.7,112.67K,1.97%
03/07/2024,66855.3,66074.6,67985.5,65602.6,77.47K,1.17%
03/06/2024,66080.4,63794.7,67604.9,62848.7,117.91K,3.59%
03/05/2024,63792.6,68273.1,69063.1,60138.2,207.60K,-6.56%
03/04/2024,68270.1,63135.8,68495.1,62746.8,130.86K,8.13%
03/03/2024,63135.8,61955.6,63227.3,61399.4,38.01K,1.84%
03/02/2024,61994.5,62397.7,62446.3,61621.9,33.80K,-0.65%
03/01/2024,62397.7,61157.3,63147.3,60790.9,74.96K,2.01%
02/29/2024,61169.3,62467.1,63653.4,60512.5,119.29K,-2.08%
02/28/2024,62467.6,57048.7,63915.3,56704.9,173.64K,9.48%
02/27/2024,57056.2,54491.1,57555.2,54464,100.48K,4.70%
02/26/2024,54495.1,51722.7,54899.1,50925.2,78.05K,5.36%
02/25/2024,51722.7,51572.1,51952,51299,23.61K,0.29%
02/24/2024,51571.6,50739.6,51689.9,50592,20.99K,1.64%
02/23/2024,50740.5,51320.6,51532.5,50537.6,43.27K,-1.13%
02/22/2024,51320.4,51850.2,52015.8,50947.3,50.27K,-1.04%
02/21/2024,51858.2,52263.5,52367.3,50676.9,59.02K,-0.78%
02/20/2024,52263.5,51783.1,52936.8,50801.8,68.10K,0.93%
02/19/2024,51783.6,52119.6,52484.8,51694.2,36.73K,-0.64%
02/18/2024,52117.5,51646,52350.3,51199.6,26.89K,0.91%
02/17/2024,51646,52134.2,52175.5,50652.3,32.45K,-0.94%
02/16/2024,52134.2,51901.4,52556.7,51612.6,52.86K,0.45%
02/15/2024,51901.3,51805.2,52819.4,51327.5,74.72K,0.23%
02/14/2024,51782.4,49708.6,52010.7,49263.8,80.35K,4.16%
02/13/2024,49716,49941,50326.6,48398.3,78.51K,-0.45%
02/12/2024,49941.3,48280.2,50277.3,47729.9,81.85K,3.45%
02/11/2024,48277.3,47759.3,48531.6,47590.2,36.50K,1.09%
02/10/2024,47758.2,47128,48149,46875,31.20K,1.34%
02/09/2024,47127.5,45293.3,48118.8,45254.2,98.11K,4.05%
02/08/2024,45293.3,44346.2,45579.2,44336.4,66.38K,2.15%
02/07/2024,44339.8,43088.4,44367.9,42783.5,48.57K,2.91%
02/06/2024,43087.7,42697.6,43375.5,42566.8,33.32K,0.91%
02/05/2024,42697.2,42581.4,43532.2,42272.5,39.26K,0.27%
02/04/2024,42581.4,43006.2,43113.2,42379.4,20.33K,-0.99%
02/03/2024,43005.7,43194.7,43370.4,42882,14.57K,-0.44%
02/02/2024,43194.7,43083.7,43459.3,42596.3,42.65K,0.26%
02/01/2024,43081.4,42580.1,43263.1,41890.5,47.69K,1.18%
01/31/2024,42580.5,42946.2,43739.7,42315.4,56.48K,-0.85%
01/30/2024,42946.2,43303.3,43817.9,42702.9,55.13K,-0.82%
01/29/2024,43299.8,42031.4,43305.6,41824.7,45.23K,3.02%
01/28/2024,42030.7,42121.3,42817.1,41649,32.53K,-0.21%
01/27/2024,42120.9,41811.5,42191.8,41413,20.46K,0.74%
01/26/2024,41811.3,39942,42214.8,39831.2,69.47K,4.70%
01/25/2024,39935.7,40085.1,40285.8,39546.3,46.30K,-0.37%
01/24/2024,40086,39891.3,40535.2,39510,58.64K,0.49%
01/23/2024,39888.8,39555,40159.4,38546.9,82.67K,0.84%
01/22/2024,39556.4,41581.7,41684.9,39468.4,85.10K,-4.87%
01/21/2024,41583.2,41695.4,41878,41504.5,16.11K,-0.27%
01/20/2024,41695.4,41647.6,41858,41449.5,22.27K,0.11%
01/19/2024,41648,41293.8,42164.6,40305.4,72.64K,0.86%
01/18/2024,41292.7,42763.5,42908,40682.6,70.35K,-3.45%
01/17/2024,42768.7,43139.1,43192.3,42211.8,50.44K,-0.87%
01/16/2024,43145.5,42515.2,43563.7,42093.1,63.93K,1.49%
01/15/2024,42510.7,41747.6,43348.9,41719.2,52.08K,1.83%
01/14/2024,41746.1,42851.3,43069.4,41739.6,37.14K,-2.58%
01/13/2024,42851.3,42836.7,43248.6,42443.3,48.18K,0.04%
01/12/2024,42835.9,46348.1,46503.2,41857.9,136.92K,-7.58%
